CountryCode,LookupKey,Bic,BankCode,BranchCode,BankName,Source
CZ,0100,KOMBCZPP,0100,,Komerční banka a.s.,Czech bank code list (kody_bank_CR.csv)
CZ,0300,CEKOCZPP,0300,,Československá obchodní banka a. s.,Czech bank code list (kody_bank_CR.csv)
CZ,0600,AGBACZPP,0600,,MONETA Money Bank a.s.,Czech bank code list (kody_bank_CR.csv)
CZ,0710,CNBACZPP,0710,,ČESKÁ NÁRODNÍ BANKA,Czech bank code list (kody_bank_CR.csv)
CZ,0800,GIBACZPX,0800,,Česká spořitelna a.s.,Czech bank code list (kody_bank_CR.csv)
CZ,2010,FIOBCZPP,2010,,Fio banka a.s.,Czech bank code list (kody_bank_CR.csv)
CZ,2060,CITFCZPP,2060,,Citfin spořitelní družstvo,Czech bank code list (kody_bank_CR.csv)
CZ,2070,MPUBCZPP,2070,,TRINITY BANK a.s.,Czech bank code list (kody_bank_CR.csv)
CZ,2220,ARTTCZPP,2220,,Artesa spořitelní družstvo,Czech bank code list (kody_bank_CR.csv)
CZ,2250,CTASCZ22,2250,,Banka CREDITAS a.s.,Czech bank code list (kody_bank_CR.csv)
CZ,2600,CITICZPX,2600,,Citibank Europe plc organizační složka,Czech bank code list (kody_bank_CR.csv)
CZ,2700,BACXCZPP,2700,,UniCredit Bank Czech Republic and Slovakia a.s.,Czech bank code list (kody_bank_CR.csv)
CZ,3030,AIRACZPP,3030,,Air Bank a.s.,Czech bank code list (kody_bank_CR.csv)
CZ,3060,BPKOCZPP,3060,,PKO BP S.A. Czech Branch,Czech bank code list (kody_bank_CR.csv)
CZ,3500,INGBCZPP,3500,,ING Bank N.V.,Czech bank code list (kody_bank_CR.csv)
CZ,4300,NROZCZPP,4300,,Národní rozvojová banka a.s.,Czech bank code list (kody_bank_CR.csv)
CZ,5500,RZBCCZPP,5500,,Raiffeisenbank a.s.,Czech bank code list (kody_bank_CR.csv)
CZ,5800,JTBPCZPP,5800,,J&T BANKA a.s.,Czech bank code list (kody_bank_CR.csv)
CZ,6000,PMBPCZPP,6000,,PPF banka a.s.,Czech bank code list (kody_bank_CR.csv)
CZ,6200,COBACZPX,6200,,COMMERZBANK Aktiengesellschaft pobočka Praha,Czech bank code list (kody_bank_CR.csv)
CZ,6210,BREXCZPP,6210,,mBank S.A. organizační složka,Czech bank code list (kody_bank_CR.csv)
CZ,6300,GEBACZPP,6300,,BNP Paribas S.A. pobočka Česká republika,Czech bank code list (kody_bank_CR.csv)
CZ,6363,PTBNCZPP,6363,,Partners Banka a.s.,Czech bank code list (kody_bank_CR.csv)
CZ,6700,SUBACZPP,6700,,Všeobecná úverová banka a.s. pobočka Praha,Czech bank code list (kody_bank_CR.csv)
CZ,6800,VBOECZ2X,6800,,Sberbank CZ a.s. v likvidaci,Czech bank code list (kody_bank_CR.csv)
CZ,7910,DEUTCZPX,7910,,Deutsche Bank Aktiengesellschaft Filiale Prag organizační složka,Czech bank code list (kody_bank_CR.csv)
CZ,8030,GENOCZ21,8030,,Volksbank Raiffeisenbank Nordoberpfalz eG pobočka Cheb,Czech bank code list (kody_bank_CR.csv)
CZ,8040,OBKLCZ2X,8040,,Oberbank AG pobočka Česká republika,Czech bank code list (kody_bank_CR.csv)
CZ,8090,CZEECZPP,8090,,Česká exportní banka a.s.,Czech bank code list (kody_bank_CR.csv)
CZ,8150,MIDLCZPP,8150,,HSBC Continental Europe Czech Republic,Czech bank code list (kody_bank_CR.csv)
CZ,8198,FFCSCZP1,8198,,FAS finance company s.r.o.,Czech bank code list (kody_bank_CR.csv)
CZ,8220,PAERCZP1,8220,,Payment execution s.r.o.,Czech bank code list (kody_bank_CR.csv)
CZ,8250,BKCHCZPP,8250,,Bank of China (CEE) Ltd. Prague Branch,Czech bank code list (kody_bank_CR.csv)
CZ,8255,COMMCZPP,8255,,Bank of Communications Co. Ltd. Prague Branch odštěpný závod,Czech bank code list (kody_bank_CR.csv)
CZ,8265,ICBKCZPP,8265,,Industrial and Commercial Bank of China Limited Prague Branch odštěpný závod,Czech bank code list (kody_bank_CR.csv)
