CountryCode,LookupKey,Bic,BankCode,BranchCode,BankName,Source
FR,10011,PSSTFRPPCNE,10011,,La Banque Postale,"France main bank mapping table"
FR,10096,CMCIFRPPXXX,10096,,Lyonnaise de banque LB,"France main bank mapping table"
FR,10107,BREDFRPPXXX,10107,,BRED - Banque populaire,"France main bank mapping table"
FR,10206,AGRIFRPP802,10206,,Caisse regionale de credit agricole mutuel du Nord Est,"France main bank mapping table"
FR,10207,CCBPFRPPMTG,10207,,Banque populaire Rives de Paris,"France main bank mapping table"
FR,10278,CMCIFR2AXXX,10278,,Caisse federale du credit mutuel Centre Est Europe,"France main bank mapping table"
FR,10807,CCBPFRPPDJN,10807,,Banque populaire Bourgogne Franche-Comte,"France main bank mapping table"
FR,10907,CCBPFRPPBDX,10907,,Banque populaire du Sud-Ouest,"France main bank mapping table"
FR,11006,AGRIFRPP810,11006,,Caisse regionale de credit agricole mutuel de Champagne-Bourgogne,"France main bank mapping table"
FR,11206,AGRIFRPP812,11206,,Caisse regionale de credit agricole mutuel Nord Midi-Pyrenees,"France main bank mapping table"
FR,11306,AGRIFRPP813,11306,,Caisse regionale de credit agricole mutuel d'Alpes-Provence,"France main bank mapping table"
FR,11315,CEPAFRPP131,11315,,Caisse d'epargne et de prevoyance Provence-Alpes-Corse,"France main bank mapping table"
FR,11425,CEPAFRPP142,11425,,Caisse d'epargne et de prevoyance Normandie,"France main bank mapping table"
FR,11706,AGRIFRPP817,11706,,Caisse regionale de credit agricole mutuel Charente-Maritime Deux-Sevres,"France main bank mapping table"
FR,12135,CEPAFRPP213,12135,,Caisse d'epargne et de prevoyance de Bourgogne Franche-Comte,"France main bank mapping table"
FR,12206,AGRIFRPP822,12206,,Caisse regionale de credit agricole mutuel des Cotes-d'Armor,"France main bank mapping table"
FR,12280,SORMFR2NXXX,12280,,Socram banque,"France main bank mapping table"
FR,12406,AGRIFRPP824,12406,,Caisse regionale de credit agricole mutuel Charente-Perigord,"France main bank mapping table"
FR,12506,AGRIFRPP825,12506,,Caisse regionale de credit agricole mutuel de Franche-Comte,"France main bank mapping table"
FR,12548,AXABFRPPXXX,12548,,Axa banque,"France main bank mapping table"
FR,12906,AGRIFRPP829,12906,,Caisse regionale de credit agricole mutuel du Finistere,"France main bank mapping table"
FR,13106,AGRIFRPP831,13106,,Caisse regionale de credit agricole mutuel de Toulouse et du Midi toulousain,"France main bank mapping table"
FR,13135,CEPAFRPP313,13135,,Caisse d'epargne et de prevoyance de Midi-Pyrenees,"France main bank mapping table"
FR,13306,AGRIFRPP833,13306,,Caisse regionale de credit agricole mutuel d'Aquitaine,"France main bank mapping table"
FR,13335,CEPAFRPP333,13335,,Caisse d'epargne et de prevoyance Aquitaine Poitou-Charentes,"France main bank mapping table"
