"CountryCode","LookupKey","Bic","BankCode","BranchCode","BankName","Source"
"HU","100","HUSTHUHB","100","","Magyar Államkincstár","Hungarian branch office register (sht.csv)"
"HU","101","MKKBHUHB","101","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","102","OKHBHUHB","102","","K&H Bank Zrt","Hungarian branch office register (sht.csv)"
"HU","103","MKKBHUHB","103","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","104","OKHBHUHB","104","","K&H Bank Zrt","Hungarian branch office register (sht.csv)"
"HU","107","CIBHHUHB","107","","CIB Bank Zrt","Hungarian branch office register (sht.csv)"
"HU","108","CITIHUHX","108","","Citibank Europe Plc","Hungarian branch office register (sht.csv)"
"HU","109","BACXHUHB","109","","UniCredit Bank Hungary Zrt","Hungarian branch office register (sht.csv)"
"HU","111","CIBHHUHB","111","","CIB Bank Zrt","Hungarian branch office register (sht.csv)"
"HU","115","TAKBHUHB","115","","MBH Befektetési Bank Zrt","Hungarian branch office register (sht.csv)"
"HU","116","GIBAHUHB","116","","Erste Bank Zrt","Hungarian branch office register (sht.csv)"
"HU","117","OTPVHUHB","117","","OTP Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","118","INTFBGSF","118","","iCARD AD","Hungarian branch office register (sht.csv)"
"HU","119","GIBAHUHB","119","","Erste Bank Zrt","Hungarian branch office register (sht.csv)"
"HU","120","UBRTHUHB","120","","Raiffeisen Bank Zrt","Hungarian branch office register (sht.csv)"
"HU","121","GNBAHUHB","121","","Gránit Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","125","GIBAHUHB","125","","Erste Bank Zrt","Hungarian branch office register (sht.csv)"
"HU","126","TRWIBEBB","126","","Wise Europe SA","Hungarian branch office register (sht.csv)"
"HU","128","MRKBHUHB","128","","MERKANTIL BANK Zrt","Hungarian branch office register (sht.csv)"
"HU","131","BNPAHUHX","131","","BNP-Paribas Magyarországi fióktelepe","Hungarian branch office register (sht.csv)"
"HU","135","KODBHUHB","135","","KDB Bank Európa Zrt","Hungarian branch office register (sht.csv)"
"HU","137","INGBHUHB","137","","ING Bank N.V","Hungarian branch office register (sht.csv)"
