Branch office code,BIC code,Name of the branch office,Address of the branch office,Branch office may send VIBER items,Branch office may receive VIBER items
10002003,HUSTHUHB,Magyar Államkincstár. értékp.-pénztár,"1139 Budapest, Váci út 71.",,R
10003004,HUSTHUHB,Magyar Államkincstár Központ,"1054 Budapest, Hold utca 7.",S,R
10023002,HUSTHUHB,Magyar Államkincstár. Budapest,"1139 Budapest, Váci út 71.",,R
10024003,HUSTHUHB,Magyar Államkincstár. Pécs,"7621 Pécs, Apáca utca 6.",,R
10025004,HUSTHUHB,Magyar Államkincstár. Kecskemét,"6000 Kecskemét, Szabadság tér 1.",,R
10026005,HUSTHUHB,Magyar Államkincstár. Békéscsaba,"5600 Békéscsaba, Dózsa György út 1.",,R
10027006,HUSTHUHB,Magyar Államkincstár. Miskolc,"3525 Miskolc, Hősök tere 3.",,R
10028007,HUSTHUHB,Magyar Államkincstár Szeged,"6720 Szeged, Vár utca 5.",,R
10029008,HUSTHUHB,Magyar Államkincstár Székesfehérvár,"8000 Székesfehérvár, Ősz utca 11.",,R
10032000,HUSTHUHB,Magyar Államkincstár Budapest,"1139 Budapest, Váci út 71.",,R
10033001,HUSTHUHB,Magyar Államkincstár. Győr,"9022 Győr, Czuczor Gergely utca 26.",,R
10034002,HUSTHUHB,Magyar Államkincstár. Debrecen,"4025 Debrecen, Hatvan utca 15.",,R
10035003,HUSTHUHB,Magyar Államkincstár Eger,"3300 Eger, Eszterházy tér 5.",,R
10036004,HUSTHUHB,Magyar Államkincstár. Tatabánya,"2800 Tatabánya, Fő tér 32.",,R
10037005,HUSTHUHB,Magyar Államkincstár. Salgótarján,"3100 Salgótarján, Rákóczi út 15.",,R
10039007,HUSTHUHB,Magyar Államkincstár Kaposvár,"7400 Kaposvár, Széchenyi tér 3-4.",,R
10044001,HUSTHUHB,Magyar Államkincstár. Nyíregyháza,"4400 Nyíregyháza, Széchenyi utca 3.",,R
10045002,HUSTHUHB,Magyar Államkincstár. Szolnok,"5000 Szolnok, Magyar utca 8.",,R
10046003,HUSTHUHB,Magyar Államkincstár. Szekszárd,"7100 Szekszárd, Augusz Imre utca 7.",,R
10047004,HUSTHUHB,Magyar Államkincstár. Szombathely,"9700 Szombathely, Széll Kálmán utca 20.",,R
10048005,HUSTHUHB,Magyar Államkincstár. Veszprém,"8200 Veszprém, Mindszenty József utca 2.",,R
10049006,HUSTHUHB,Magyar Államkincstár. Zalaegerszeg,"8900 Zalaegerszeg, Dísz tér 7.",,R
10100015,MKKBHUHB,MBH 103 Szent István tér,"1051 Budapest, Hercegprímás utca 10.",S,R
10100022,MKKBHUHB,MBH 103 Duna Pláza,"1138 Budapest, Váci út 178-182.",S,R
10100039,MKKBHUHB,MBH 103 MBH Székház,"1056 Budapest, Váci út 38.",S,R
10100046,MKKBHUHB,MBH 103 Duna Ház,"1093 Budapest, Soroksári út 3/C.",S,R
10100053,MKKBHUHB,MBH 103 Mammut,"1024 Budapest, Széna tér 4.",S,R
10100060,MKKBHUHB,MBH 103 Thököly út,"1146 Budapest, Thököly út 100/A.",S,R
10100077,MKKBHUHB,MBH 103 Fehérvári út,"1119 Budapest, Fehérvári út 95.",S,R
10100084,MKKBHUHB,MBH 103 MOM Park,"1124 Budapest, Alkotás út 53.",S,R
10100091,MKKBHUHB,MBH 103 Árkád,"1106 Budapest, Örs Vezér tere 25.",S,R
10100101,MKKBHUHB,MBH 103 Eurocenter,"1037 Budapest, Vörösvári út 131.",S,R
10100118,MKKBHUHB,MBH 103 Rákoskeresztúr,"1173 Budapest, Pesti út 237.",S,R
10100125,MKKBHUHB,MBH 103 Nyugati tér,"1132 Budapest, Nyugati tér 5.",S,R
10100132,MKKBHUHB,MBH 103 Csepel Pláza,"1211 Budapest, II. Rákóczi Ferenc út 154-170.",S,R
10100149,MKKBHUHB,MBH 103 Paks,"7030 Paks, Dózsa György út 75.",S,R
10100156,MKKBHUHB,MBH 103 Siófok,"8600 Siófok, Sió utca 2.",S,R
